M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4376123430086251,-0.09048491912671633,40.25444798835308,2.5406952099349596,41.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4379255282354825,-0.0889568157171817,40.31208626056498,2.45560563233394,42.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43823337747797914,-0.0874276283969207,40.36878269122953,2.371906465936398,42.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4385358869850692,-0.08589737579859807,40.424534517042645,2.289601790121612,42.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43883305307076986,-0.08436607656785902,40.47933902073903,2.2086956163033764,42.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43912487211420614,-0.08283374936310134,40.533193531224484,2.1291918877344593,42.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43941134055965503,-0.08130041285524828,40.586095423706126,2.0510944793144184,43.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.43969245491658904,-0.07976608572752145,40.63804211982038,1.9744071974007698,43.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4399682117597183,-0.07823078667521266,40.689031087758536,1.8991337796234415,43.400000000000006
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4402386077290328,-0.0766945344054564,40.73905984239024,1.8252778947026231,43.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.440503639529843,-0.0751573476370018,40.78812594538459,1.7528431422699533,43.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.4407633039328199,-0.07361924509998435,40.83622700532891,1.681833052693067,44.0
