fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_converted_fT_M_over_msum,False,3.5,2.5,6.25,-0.2737142895824664,0.16095416893682007,-7.492737104478158e-16,0.16095416893682007,-0.02680714158849154,-0.3163971143667895,0.15105522983863431,31.06455892308016,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.5,2.5,6.25,-0.2737142895824664,0.16095416893682007,-7.492737104478158e-16,0.16095416893681933,-0.02680714158849215,-0.3163971143667891,0.15105522983864117,31.064558923080067,0.4619457079970653
fB_equal_fT,False,3.75,2.5,6.25,-0.2787462566985878,0.2796575300086069,-1.2684947712358523e-15,0.2796575300086069,0.06716337288735383,-0.38909753411758363,0.9481995513392237,46.98044441017684,0.256
fB_equal_fT,True,3.75,2.5,6.25,-0.2787462566985878,0.2796575300086069,-1.2684947712358523e-15,0.2796575300086056,0.06716337288735277,-0.38909753411758286,0.9481995513391939,46.98044441017665,0.256
fB_converted_fT_M_over_msum,False,3.75,2.5,6.25,-0.2787462566985878,0.15497996072442818,-7.02971487373233e-16,0.15497996072442818,-0.03459067804528798,-0.3170516501171182,0.25150863483098507,31.193219362251966,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.75,2.5,6.25,-0.2787462566985878,0.15497996072442818,-7.02971487373233e-16,0.1549799607244275,-0.034590678045288564,-0.31705165011711783,0.25150863483099356,31.19321936225189,0.4619457079970653
fB_equal_fT,False,4.0,2.5,6.25,-0.2828389925181214,0.27074482576366704,-1.1996339416181026e-15,0.27074482576366704,0.05752436132588645,-0.38728749556435876,0.695566025084198,46.54436544176262,0.256
fB_equal_fT,True,4.0,2.5,6.25,-0.2828389925181214,0.27074482576366704,-1.1996339416181026e-15,0.2707448257636658,0.057524361325885454,-0.38728749556435804,0.6955660250841739,46.54436544176244,0.256
fB_converted_fT_M_over_msum,False,4.0,2.5,6.25,-0.2828389925181214,0.15004073897779147,-6.648103526836648e-16,0.15004073897779147,-0.04098678117636455,-0.31753771872089226,0.35312004884522025,31.28893668126825,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.0,2.5,6.25,-0.2828389925181214,0.15004073897779147,-6.648103526836648e-16,0.1500407389777908,-0.04098678117636509,-0.31753771872089187,0.35312004884522963,31.28893668126817,0.4619457079970653
fB_equal_fT,False,4.25,2.5,6.25,-0.28622847932608986,0.26326242575461545,-1.1419854368894923e-15,0.26326242575461545,0.04945905261975142,-0.385730021265505,0.5141932085435491,46.170762413569086,0.256
fB_equal_fT,True,4.25,2.5,6.25,-0.28622847932608986,0.26326242575461545,-1.1419854368894923e-15,0.2632624257546143,0.049459052619750477,-0.3857300212655043,0.5141932085435295,46.17076241356892,0.256
fB_converted_fT_M_over_msum,False,4.25,2.5,6.25,-0.28622847932608986,0.14589415991199056,-6.328628381705134e-16,0.14589415991199056,-0.04632960101693605,-0.31790787398767406,0.4511821089797243,31.361926530858682,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.25,2.5,6.25,-0.28622847932608986,0.14589415991199056,-6.328628381705134e-16,0.14589415991198992,-0.04632960101693656,-0.31790787398767373,0.4511821089797342,31.36192653085862,0.4619457079970653
fB_equal_fT,False,4.5,2.5,6.25,-0.2890790406440712,0.25689783413577205,-1.0930722041599115e-15,0.25689783413577205,0.04261745156273597,-0.384378643716902,0.3817769482751839,45.847817184501,0.256
fB_equal_fT,True,4.5,2.5,6.25,-0.2890790406440712,0.25689783413577205,-1.0930722041599115e-15,0.25689783413577094,0.04261745156273508,-0.38437864371690134,0.38177694827516795,45.84781718450083,0.256
fB_converted_fT_M_over_msum,False,4.5,2.5,6.25,-0.2890790406440712,0.14236704530476002,-6.057562164138887e-16,0.14236704530476002,-0.050855430423785916,-0.31819615416424446,0.5436375147815669,31.41883056926712,0.4619457079970653
fB_converted_fT_M_over_msum,True,4.5,2.5,6.25,-0.2890790406440712,0.14236704530476002,-6.057562164138887e-16,0.1423670453047594,-0.050855430423786416,-0.3181961541642441,0.5436375147815775,31.418830569267058,0.4619457079970653
