scenario,ensemble,M2,s0_root,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G2460,G2536,Gamma2460_keV,Gamma2536_keV,chi_effective,fperp_s_used_GeV
legacy_chi_condensate,theta_fixed,3.0589138183803213,2.520842613111401,35.3,-0.2793364573113751,-0.22239429426730417,-0.4149049202949796,0.19178338062166017,0.000727245406015255,-0.3429210449965513,-0.09946474452988463,24.781152120217783,3.069965552193557,3.6860453543474825,-0.04008597320557738
legacy_chi_condensate,theta_fixed,3.490059105159961,2.5204380915889764,35.3,-0.2552284325898817,-0.2061673669822007,-0.3950236235490118,0.18802405757197949,0.0008321989948316283,-0.31574663377353995,-0.08916613298410586,20.92807879076075,2.4657484926224833,2.8914906174624115,-0.041264889174960774
legacy_chi_condensate,theta_fixed,4.861085020085078,2.544754567691237,35.3,-0.37695160314788956,-0.25127072443115145,-0.3800188176410843,0.12823837912823946,0.0005097140816933437,-0.42289584139752934,-0.16244566907306396,37.74407516536798,8.188096926203183,2.805872070905568,-0.03277416892733399
legacy_chi_condensate,theta_fixed,3.7787454582176325,2.5966971401829597,35.3,-0.34516571348610603,-0.2815378907495456,-0.4617317559833922,0.17949501893441522,0.000698846299431416,-0.4292302948863045,-0.11901389686037436,38.551387884718594,4.398363896268358,3.115122048106877,-0.0366630599287654
legacy_chi_condensate,theta_fixed,5.33165735507889,2.532842743680522,35.3,-0.35625705392758755,-0.2556312360069097,-0.3833714998931932,0.1273068220842563,0.00043344180202722,-0.41449611575635403,-0.143036314684347,36.22445518672857,6.353478064373466,3.25499694111946,-0.03345535863227459
legacy_chi_condensate,theta_fixed,3.557571722966909,2.5280796089032886,35.3,-0.38474524376809915,-0.27157820945565125,-0.42322875474805105,0.15096049128965558,0.0006900540027442411,-0.4439731579401066,-0.15707151709333161,41.28182020794744,7.6533167230121455,2.7479997628450406,-0.0308766268671779
legacy_chi_condensate,theta_fixed,4.3173247199586955,2.5453050098066026,35.3,-0.3461447587110887,-0.2557952300231088,-0.39709593559235273,0.14066915216426187,0.0006315534049821141,-0.4087864905466516,-0.13468852524356054,35.1371919318191,5.635305809898529,2.5572993838868263,-0.03268181806375153
legacy_chi_condensate,theta_fixed,5.123212870028484,2.5570149882019697,35.3,-0.39831064109552927,-0.29176230382029766,-0.41221452935029157,0.12005332687776998,0.00039889865222393373,-0.46828502434626684,-0.1564792149567332,46.01649752387833,7.5992036170028,3.328710166108298,-0.029647597113554674
legacy_chi_condensate,theta_fixed,5.040041857277689,2.531849374510374,35.3,-0.41512361193200376,-0.30778169348195217,-0.43185098466362354,0.12360266993161464,0.0004666212500566877,-0.4910745538056789,-0.1609439860033441,50.76305171537492,8.035714935524137,2.926704862844576,-0.02830172165130501
legacy_chi_condensate,theta_fixed,5.942244068511394,2.561894847111239,35.3,-0.3617167253399712,-0.2520435452922677,-0.3732473551850188,0.12079380603134889,0.0004100038614022468,-0.4147229792548277,-0.1495653321868651,36.01503514250397,6.94289482016672,3.054912797083386,-0.033903220317599604
legacy_chi_condensate,theta_fixed,5.266159128815348,2.521670648338773,35.3,-0.315576838638272,-0.29182979634272593,-0.42028949047645825,0.12801325311623032,0.0004464410175019512,-0.420531748986705,-0.0889180477324252,37.289809092351874,2.451836821520729,3.17218503159215,-0.03056057372148993
legacy_chi_condensate,theta_fixed,4.11353845589214,2.5964233769636604,35.3,-0.3770809139279438,-0.3007525658288773,-0.44548023215981114,0.14413599313305658,0.0005916731978772059,-0.46335455540876735,-0.13395774514125755,45.08104339147705,5.5681513161432195,2.8615054320066737,-0.0303943808397131
legacy_chi_condensate,theta_fixed,4.852976064182219,2.5910131043386864,35.3,-0.35228600129198745,-0.2878401978058793,-0.42330891567225704,0.134983684396867,0.0004850334695106886,-0.43848835717563933,-0.12118319520723517,40.46930567106645,4.554122681560127,3.118502228094106,-0.03177313059320245
legacy_chi_condensate,theta_fixed,4.267086951649563,2.534161854316315,35.3,-0.29072585585766786,-0.2500972780396894,-0.4046730616484479,0.15400146329217984,0.0005743203165786642,-0.3721119421976932,-0.09275168042087317,28.804856120206548,2.666331368486524,3.214135266795598,-0.036061782858296365
