M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4345995045686626,-0.08645277775330773,39.70207481936052,2.319306084636875,42.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4348986333507712,-0.08493521567772261,39.756746397294286,2.238596144962369,42.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43519246303027814,-0.08341661869333836,39.81048608466834,2.1592619261596635,42.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4354809900269614,-0.08189700530377994,39.86329126228613,2.081307294866655,43.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4357642108252106,-0.080376394025057,39.91515935649781,2.0047360504820975,43.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43604212197406966,-0.07885480338533818,39.96608783932561,1.9295519249804214,43.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.436314720087279,-0.07733225192472515,40.01607422858717,1.85575858272983,43.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43658200184331664,-0.075808758195027,40.065116088016374,1.7833596203137192,43.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4368439639854387,-0.074284340759534,40.11321102738217,1.7123585663553755,44.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4371006033217191,-0.07275901819279154,40.16035670260509,1.6427588813460023,44.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43735191672508855,-0.07123280908037377,40.20655081587142,1.574563957476058,44.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4375979011333726,-0.06970573201865707,40.251791115745256,1.5077771184699222,44.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43783855354932877,-0.06817780561459347,40.2960753972782,1.4424016194239042,44.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4380738710406835,-0.06664904848548414,40.339401502116864,1.378440646647602,45.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4383038507401672,-0.065119479258752,40.381767318608006,1.315897317508582,45.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43852848984554993,-0.0635891165717157,40.423170781901504,1.2547746802804842,45.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.438747785619675,-0.062057979071361485,40.46360987405095,1.1950757139944106,45.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43896173539049266,-0.060526085414116554,40.503082624112075,1.1368033282937535,45.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4391703365510924,-0.05899345426562172,40.541587108238694,1.0799603632923829,46.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.439373586559735,-0.057460104300503856,40.579121449776615,1.0245495894362195,46.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43957148293988335,-0.0559260542021483,40.61568381935496,0.9705737073682054,46.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4397640232802323,-0.054391322662471625,40.65127243497542,0.9180353477966917,46.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.43995120523473863,-0.052855928381693146,40.685885562099074,0.8669370713671979,46.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4401330265226493,-0.05131989006810758,40.71952151373094,0.8172813685376268,47.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4403094849285294,-0.049783226437857125,40.7521786505022,0.7690706594568832,47.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4404805783022888,-0.048245956214703095,40.783855380750076,0.7223072938469103,47.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4406463045592087,-0.04670809812979826,40.814550160595395,0.6769935508881816,47.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4408066616799671,-0.045169670921457794,40.84426149401793,0.6331316391085925,47.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4409616477106631,-0.0436306933349318,40.87298793292919,0.5907236962758456,48.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4411112607628407,-0.04209118412217647,40.90072807724307,0.5497717892932448,48.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4412554990135121,-0.04055116204162587,40.92748057494406,0.5102779140989662,48.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.44139436070517984,-0.03901064585796296,40.953244122153215,0.47224399556876656,48.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4415278441458579,-0.03746965434189131,40.97801746319152,0.43567188742217794,48.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4416559477090928,-0.03592820626990614,41.00179939064133,0.40056337213215354,49.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.44177866983398284,-0.034386320424065836,41.024588745405026,0.3669201608381999,49.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.441896009025198,-0.03284401559176278,41.04638441676165,0.3347438932629706,49.400000000000006
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.4420079638529969,-0.03130131056549476,41.067185342420856,0.304036137632356,49.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.44211453295324554,-0.029758224142635598,41.08699050857495,0.2747983905990418,49.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.44221571502743295,-0.02821477512520637,41.10579894994802,0.24703207716956968,50.0
