M2,s0_root,s0,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,state,m_initial,m_final,quoted_combo,mass_comment,scenario,mb_MSbar,ms_MSbar,f_Bs,f_Bs1_A_working,fT_Bs1_working,G_quoted,Gamma_quoted_keV
11.0,6.25,39.0625,35.3,0.4062073096367963,0.5045560986600987,0.19969708453067547,0.3044355574596721,0.00042345666975104006,0.6465171893746345,0.03995946621998625,88.68474763589707,0.3387880932403417,0.22683827574263177,0.023626555928886805,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03995946621998625,0.3387880932403417
11.5,6.25,39.0625,35.3,0.39547716151870227,0.49327304976651243,0.19743587696435266,0.29543637955066004,0.00040079325149972364,0.6311081711410615,0.0377221848231325,84.50772070873815,0.3019134488333296,0.22683827574263177,0.02644454501251624,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.0377221848231325,0.3019134488333296
12.0,6.25,39.0625,35.3,0.38618733962147705,0.48342182686769986,0.19545358565792142,0.28758715561044174,0.0003810855993366722,0.6177000234126058,0.03583301622923746,80.95506347395548,0.2724303664440849,0.22683827574263177,0.029332216995339253,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03583301622923746,0.2724303664440849
12.5,6.25,39.0625,35.3,0.378080916019867,0.4747570542736588,0.19370457577306743,0.2806886669325294,0.0003638115680619466,0.6059440181044397,0.03422406411386636,77.90292906311522,0.2485146202902418,0.22683827574263177,0.032276099845404756,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03422406411386636,0.2485146202902418
13.0,6.25,39.0625,35.3,0.37095677449271347,0.4670850162369003,0.19215233224578163,0.2745841218895189,0.0003485621015997872,0.5955658399714634,0.032843130090606465,75.25724950836519,0.22886419972991504,0.22683827574263177,0.03526398393456756,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.032843130090606465,0.22886419972991504
13.5,6.25,39.0625,35.3,0.3646555442304302,0.4602509667980775,0.19076733557855283,0.2691486184714714,0.00033501274805320633,0.5863471013819175,0.03164956678344394,72.94547340511743,0.21253199635560785,0.22683827574263177,0.038284878236977016,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03164956678344394,0.21253199635560785
14.0,6.25,39.0625,35.3,0.35904952164806087,0.45412996047759646,0.18952549701166146,0.26428156021475674,0.00032290325117823835,0.5781120351429664,0.030611351194323677,70.91086829194613,0.198817121556822,0.22683827574263177,0.04132894617204015,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.030611351194323677,0.198817121556822
8.0,6.05,36.6025,35.3,0.8245261080892299,0.8085047871763441,0.21256657888126035,0.5952576772255909,0.0006805310694929023,1.136309846636994,0.20572609519370405,273.95694977055985,8.979818277141609,0.22683827574263177,0.008625756399383675,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.20572609519370405,8.979818277141609
8.5,6.05,36.6025,35.3,0.7738058840645595,0.7648427205749909,0.20604047317028482,0.5581879082757285,0.0006143391289775584,1.071366524659951,0.1895618718718161,243.5369860807211,7.624138186197967,0.22683827574263177,0.010531491208837042,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.1895618718718161,7.624138186197967
9.0,6.05,36.6025,35.3,0.7325281256515271,0.7290479093816904,0.20058663249612163,0.5279003501362939,0.0005609267492748626,1.0183003662988452,0.17655784615810954,220.00906837315395,6.613979225033044,0.22683827574263177,0.012587434021141632,0.06801820716962186,4.980468750000001,-0.055080000000000004,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),lattice_fperp_s,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.17655784615810954,6.613979225033044
