sector,state,label,M2,s0,combo,theta_deg,theta_reference_deg,sqrt_s0,f1_GeV,f2_GeV,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,Gamma_keV,two_point_source_theta_deg,normalization_scheme,m_initial,m_sigma,quoted_combo,window_id
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,26.25,35.3,3.0,0.41593658056093324,0.17599770001004048,-0.4655242729037986,-0.10026369368063084,-0.3652605792231678,45.553254551568166,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,26.25,35.3,3.082207001484488,0.41593658056093324,0.17599770001004048,-0.07673568591286406,-0.5306576862453998,0.4539220003325357,1.8272371761254016,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,26.375,35.3,3.0,0.4160182760609423,0.1757998091542231,-0.4654823265822623,-0.100687242174878,-0.3647950844073843,45.54504571913042,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,26.375,35.3,3.082207001484488,0.4160182760609423,0.1757998091542231,-0.0742399199832931,-0.5306821979088414,0.4564422779255483,1.710311255889592,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,26.5,35.3,3.0,0.4160982222582113,0.17560753349149702,-0.4654401383671042,-0.10111057028515116,-0.364329568081953,45.53679029457783,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,26.5,35.3,3.082207001484488,0.4160982222582113,0.17560753349149702,-0.07173588131266756,-0.530687266414874,0.4589513851022064,1.5968827887609232,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,26.625,35.3,3.0,0.4161764186392186,0.17542089515254997,-0.46539770821516213,-0.10153368149525538,-0.36386402671990675,45.528488282336234,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,26.625,35.3,3.082207001484488,0.4161764186392186,0.17542089515254997,-0.06922378674498231,-0.5306727631388481,0.46144897639386584,1.4869996601090207,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,26.75,35.3,3.0,0.41625286470178147,0.17523991570827518,-0.4653550360748602,-0.10195657928247866,-0.36339845679238153,45.5201396852623,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,26.75,35.3,3.082207001484488,0.41625286470178147,0.17523991570827518,-0.06670385709849741,-0.5306385643870836,0.46393470728858616,1.380708690558019,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,26.875,35.3,3.0,0.4163275599550522,0.17506461615976038,-0.46531212188622095,-0.10237926711769504,-0.36293285476852594,45.51174450464678,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,26.875,35.3,3.082207001484488,0.4163275599550522,0.17506461615976038,-0.06417631708891791,-0.5305845515173434,0.4664082344284255,1.2780555910597975,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,27.0,35.3,3.0,0.4164005039195149,0.17489501692846648,-0.4652689655808802,-0.10280174846546718,-0.362467217115413,45.50330274021818,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,27.0,35.3,3.082207001484488,0.4164005039195149,0.17489501692846648,-0.06164139524834483,-0.5305106110563667,0.4688692158080218,1.1790849185488737,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,27.125,35.3,3.0,0.41647169612698187,0.17473113784660635,-0.46522556708209795,-0.10322402678414853,-0.3620015402979494,45.49481439014571,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,27.125,35.3,3.082207001484488,0.41647169612698187,0.17473113784660635,-0.059099323840031304,-0.5304166348142655,0.4713173109742342,1.0838400322534452,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,27.25,35.3,3.0,0.41654113612059107,0.1745729981477345,-0.4651819263047704,-0.10364610552598523,-0.36153582077878516,45.48627945104253,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,27.25,35.3,3.082207001484488,0.41654113612059107,0.1745729981477345,-0.0565503387689999,-0.5303025199955983,0.4737521812265984,0.9923630507376694,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,27.375,35.3,3.0,0.41660882345480243,0.17442061645755685,-0.46513804315544105,-0.1040679881372176,-0.3610700550182234,45.47769791796867,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,27.375,35.3,3.082207001484488,0.41660882345480243,0.17442061645755685,-0.05399467948857084,-0.5301681693069341,0.47617348981836327,0.9046948097494658,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,27.5,35.3,3.0,0.4166747576953952,0.1742740107849719,-0.46509391753231155,-0.10448967805818142,-0.3606042394741301,45.46906978443414,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,27.5,35.3,3.082207001484488,0.4166747576953952,0.1742740107849719,-0.05143258890286906,-0.530013491060722,0.478580902157853,0.8208748209481479,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,27.625,35.3,3.0,0.4167389384194647,0.1741331985133527,-0.465049549325251,-0.10491117872340869,-0.36013837060184234,45.46039504240151,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,27.625,35.3,3.082207001484488,0.4167389384194647,0.1741331985133527,-0.04886431326538171,-0.5298383992752908,0.48097408600990904,0.7409412315854075,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,27.75,35.3,3.0,0.41680136521542,0.17399819639207945,-0.46500493841580565,-0.10533249356172814,-0.3596724448540775,45.451673682288764,26.594403607486143,AA_AB_BB_two_point_projection,,,,
